Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
21,قلبي مجنونك يا ليلى,أحمد فكرون,"قلبي مجنونك يا ليلي ايغني للكون مواويله
في بحر عيونك يا ليلي مركب عمري تاه دليله
ونا ونتي حكاية يا ليلي من حكاوي ألف ليله
أه يا ليلي أه يا ليلي
لفيت المداين يا ما نحلم بيك
يا طيف النور قلبي المجداف والعوامة بيه
عدية السبع بحور لا ما ألقيتك
لا ما أنسيتك ولاعنك تشغلني حيله
أه يا ليلي أه يا ليلي
عدية يا ما صحاري وجبال وديان وسهول
تعبني وأتعب مشواري في دروب الحب المجهول
ومهما يكون قلبي المجنون ما أيغني ألغيرك يا ليلي
ومهما يكون قلبي المجنون ولا يغزل شعر مراسيله
أه يا ليلي أه يا ليلي .",مكتوبة كاملة,فرج المذبل ,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/samqB
22,لا يا حب,أحمد فكرون,لا يا حب لا تسهر عيوني - لي كون و لا تخيب ظنوني,مطلع الأغنية/رأس البيت فقط,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/Qm8p9
23,عيون سماح ,أحمد فكرون,"مرايف عليك البال - يم عيون سماح
و الصبر طال وطال - و الجرح صار جراح
لاتنشدي و نسال - و القلب ابدمعه باح
سبحان كيف النسو - ما قدر عليه سلاح
 
مرايف عليك الليل - و راسك علي خدي
و يدك بلا ما نقول - ما انقول تطلب دفايدي
 البدر كي قنديل - ونسمة هواه اتهدي
و صوتك همسفي الحب - في نبرته نرتاح
سبحان كيف النسو - ما قدر عليه سلاح

مرايف عليك العقل - مرايف على عيونك
لون الورد جدد - شوق لسحرلونك
يشهد عليا الله - ابقو الهوى نصونك
عد ىالعمر آهات - و م العمر ياما راح
سبحان كيف النسو - ما قدر عليه سلاح

مرايف عليك العقل - وفكره ملك فكرك
ولما الورد ف الريف - ينشر شذا عطرك
يزهى العقل لحظات - ويرجعه ذكرك
ليام كانالحب ب- سمة أمل و افراح
سبحان كيف النسو - ما قدر عليه سلاح",مكتوبة كاملة,نبيل الجهمي,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/Bffff
24,مش كفاية,أحمد فكرون,"موش كفاية  - موش كفاية - موش كفاية - موش كفاية
موش كفاية أني بحبك - موش كفاية - موش كفاية
حبك أرحب من حناني - و من حنان الكون معايا
موش كفاية - موش كفاية
أنتي حبك معنى تاني - غير المحنة و المحبة - و الأماني
موش كفاية - موش كفاية - موش كفاية - موش كفاية
موش كفاية - أني بحبك - موش كفاية

يمكن عبير - يمكن أمل - يمكن تهاني
موش كفاية - موش كفاية - موش كفاية - موش كفاية
موش كفاية - أني بحبك

حبي أكبر من عواطفي - من طموحي و من كياني
حبي أكبر من هوايا - من حنان الكون معايا -

و لو كبر البحر قلبي - و نسماته حنان اتهب
و لو سحر الزهر دربي - و بسماته أمان و حب
كان هواك صادف هوايا - يمكن اتكون البداية
موش كفاية - موش كفاية - موش كفاية - موش كفاية",مكتوبة كاملة,صالح عباس,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/VdfpH
25,فلسطين الحبيبة,أحمد فكرون,"يا طفل عايش في خيام الهم
شايل عذابك في عيون الم
بوك في جهاده وعاش ديما يقول
حفنة تراب في الوطن تسوأ دم
فلسطين ألحبيبه جرحه كان مزال
فلسطين ألحبيبه جرحه كان مزال
مصيرها بصمودك يوم يوم يلتم
يا طفل عايش في خيام الهم
وشايل عذابك في عيون الم
فلسطين ألحبيبه جرحه كان مازال
مصيره بصمودك يو يو يلتم .",مكتوبة كاملة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/wov7b
26,النورس,أحمد فكرون,"يا نورس يا حالم ع شط البحر
أحلامنا و أيامنا نادت - شوق و رحلة و سفر

أنا و الشاطي الوحيد - نبضاتي شراع
ايرف جناحي - خلف المدى
تعلا بيك الريح - من علو الغريق
ع جناحك تمد الشمس - و تنسج خيوط ألأمس
ع رحلة بدت بالصدفة - و غناوي طفاها الهمس

حسيت بالآمان - جنبك يا غريب
غرّبني المكان - يا حضني الحبيب
يرحل فيك القمر - و يغرب فيك السهر
على أمل من تاني - نحلم بالسفر
يعلا بيك الريح - من علو الغريق
على اجناحك اتمد الشمس - و تنسج خيوط الأمس
لرحلة بدت بالصدفة - غناوي طفاها الهمس",مكتوبة كاملة,أحمد فكرون ,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/vehbZ
27,يابلادي حبك موالي,أحمد فكرون,"يابلادي حبك موالي - عليك والله مايغلى غالي
يابلادي ياحلوة - يانسمة حنان وغنوة
انا العاشق وانتي النجوى - اللي تملا فكري وخيالي
في عيونك انتي - شفت بوي وامي وحبيتي
طفلي بكرة وضحكة بنتي - وتراب جدودي الغوالي",مكتوبة كاملة,فرج المذبل,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/DLm9T
28,يمه (يا أماه),أحمد فكرون,"يمه يمه يمه يمه يمه يمه
لبتنا القديم حنيت للحنان
وين هم لصحاب وين هم الجيران
يخدوني معاهم للود و الأمان",وجب التأكد من اكتمال الكلمات,فرج المذبل,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/CPiWY
29,شباكك ساهر مفتوح,أحمد فكرون,,الكلمات غير موجودة,صالح عباس,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/stuwu
30,يا حساد قاهركم هنانا,أحمد فكرون,,الكلمات غير موجودة,فرج الطيرة,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/T2PJK
