Entry ID,Entry Number,Entry Name,Entry Type,Entry Rhythm,Entry Lyrics,Note Image Name,Type Entry Image
MLF-23-ISB-MSD,23,احرق فؤادي,الإصبعين,مصدّر,"أحرق فؤادي هذا الغزال :: خلّا قلبي ذايب رميم
نبّه علينا ثم قال :: إن كنت عاشق فاستقيم
وأخضع لحبّك ولا تنام :: وكن له دومًا خديم
كيف خلاص المستهام حالي صبح عديم دايم علي بابه مقيم
أملي فيك إتّهام :: خلًا قليبي دومًا عليل
جرّح فؤادي ياسلام ::  ــــــــــــــــــــــ 
بلا سبب ولا كلام :: ياليته كان بحالي عليم
كيف خلاص المستهام حالي صبح عديم دايم علي بابه مقيم
يابديع الحسن ياقمري :: جود بقربي لا تطل سهري
أنت أحلى الناس في نظري :: جلّ من سوّاك ياقمري
قدّك المياسى يابدري :: لغصون البان قد يغري",MLF-23-ISB-MSD.png,ISB.PNG
MLF-24-ISB-MSD,24,الا يامدير الراح,الإصبعين,مصدّر,"ألا يامدير الرّاح آفناني الغرام
ووجهك يضوي كما المصباح في ليل الظلام
ويوم نراك نفراح يابدر التّمام
قوللي كيف نطيف نصبر ياصديق بفضلك يانور عيني تكون لي رفيق
مليح الحما قد زار وأنعم بالوصال
والرّوف قد فاح عطار يابدر الكمال
بعد الغيبة ياحضّار قد طلع الهلا
بوجهٍ شريق يجلي كل ضيق بفضلك يانور عيني تكون لي رفيق
يامعشر الفقرا طبيبي حكيم
أطلعني على الحضرا كان لي نديم
سقاني مزيد خمرا من خمر قديم
سقاني رحيق أبيض كالشّفيق بفضلك يانور عيني تكون لي رفيق",MLF-24-ISB-MSD.png,ISB.PNG
MLF-25-ISB-MSD,25,التقيت على الرصيف,الإصبعين,مصدّر,"إلتقيت على الرّصيف ماشي :: وبجنبي واحد عزول واشي
صحت صيحة كأنني غاشي
يعرف وينطبع هجري وأنا عاشق دمعتي تجري
آش لي معاك من زلّة :: حتى نستحق الهجران
آش للجفا من علّة  :: من بعد المحبة يا أخوان
فوّضت أمري فيه لله :: وحلفت بأعظم الأيمان
إنّي بوصلك مانطمع واصلني تربح أجري
حبل الوصال لا تقطع :: أنا دخيلك يابدري
أعمل معبي في الحب ماتلقى :: ياما خلّف العشق حرقه
جسمي فنى ليش هكذا نلقى :: أهون علي ذوّقتني علقة",MLF-25-ISB-MSD.png,ISB.PNG
MLF-26-ISB-MSD,26,بأهل الصّفا,الإصبعين,مصدّر,"بأهل الصّفا واهل الوفا :: وأهل المعالي
شربوا كؤوسًا صافيه  :: خمرًا زلالي
وفوّضوا أمرهم :: لذي الجلالي
قد غيّبوا عنّي غيبة طويله
آش نعمل ياربّي مابيدي حيله
رأيت القمري قد غاب :: وطال مغيبه
اكبادي مشوية  :: من حر لهيبه
آش حالو يكون في الناس :: من فقد حبيبه
قد غيبوا عنّي غيبه طويله
آش نعمل ياربّي مابيدي حيله",MLF-26-ISB-MSD.png,ISB.PNG
MLF-27-ISB-MSD,27,جمر الهوى,الإصبعين,مصدّر,"جمر الهوى يحرق قلبي بنارو :: مسكين من يعشق في الحومه جارو
مسكين من يعشق أهل الحمّيا :: ماصاب شي ينطق كلمة خفيه
إن زارني المحبوب يبرا ما بيّا
أمسى خديم مملوك أخدم جوارو مسكين من يعشق في الحومه جارو
ياذا الذي أهواه سلطان قدّو :: الورد والسوسان عن صحن خدّو
سبحان من أنشأ بدنا لعبده
له عيون إملاح زنجي شفارو مسكين من يعشق في الحومه جارو
صبري كصبر أيّوب هو اللي ينفع :: حزني كحزن يعقوب بيه مولّع
لو زارني المحبوب إن كان يسمع
إذا سمح وارضي زنجي شفارو مسكين من يعشق في الحومه جارو",MLF-27-ISB-MSD.png,ISB.PNG
MLF-28-ISB-MSD,28,سير يارسول ,الإصبعين,مصدّر,"سير يارسول للحبيب :: بحقّ العهود والمنى
أنا قد عياني المغيب :: وحال البعاد بيننا
ندعو للاله المجيب :: يجمع عن قريب شملنا
باش نغنم معاك راحتي وننكي جميع الحسود
آش حال ماتطول غيبتي لا بدّ المسرّة تعود
بالله يانسيم الصّبا :: سر وأقصد ربوع الكرام
عنّي قل لهم مرحبا :: يا أهل الوفا والذّمام
وبدّغ لزين الظّبا :: سلامي بأوفى سلام
حبّي هو ضياء مقلتي نور عيني هلال السّود
آش حال ماتطول غيبتي لابد المسرة تعود",MLF-28-ISB-MSD.png,ISB.PNG
MLF-29-ISB-MSD,29,شوقي دعاني,الإصبعين,مصدّر,"شوقي دعاني وهمت يافقرا :: ديروا الأواني وأسقوني خمرا
بيها نعرّبد مابين سادتي :: عشقي مجدّد وطابت أوقاتي
بالحب أسعد عسى الفرج ياتي
يا أهل الدّيوان يارجال الحضرة ديروا الأواني وأسقوني خمرا
ياأهل الحميّة عشقي يزيد فيكم :: جودوا عليّ من طيب خمرتكم
قولوا هنيه شائق أتى ليكم
عاشق وفاني أنا بيكم نبرا ديرو الأواني وأسقوني خمرا
رقوا لحالي بالله يااهل الله :: شغلتوا بالي بيكم وحق الله
روحوا ومالي هانت في حب اله
أيا اخواني ياسادتي نظره ديروا الأواني وأسقوني خمرا
ربّي سألتك يا من له الإحسان :: بأحمد حبيبك والسّادة الأعيان
سامح عبيدك يوم الوقوف عريان
وأجمل أماني بأبي الزّهراء ديروا الأواني وأسقوني خمرا",MLF-29-ISB-MSD.png,ISB.PNG
MLF-30-ISB-MSD,30,مدير الكاس,الإصبعين,مصدّر,"مدير الكاس أفناني الحبيب :: وزارني في دجى العسعاس عن غيض الرقيب
وطاب الوقت ياجلّاس بوصل الحبيب
أنا هو العشيق في بدر رشيق بفضلك يانور عيني تكون لي رفيق
يامرحبا بدرنا قد لاح :: وعقلي في حبّكم قد سلب وبالسّر باح
والقلب في وصلكم قد شغف وملي براح
أنا هو العشيق في بدر رشيق بفضلك يانور عيني تكون لي رفيق
ياكرام الحي أهل الوفا :: أنجدو الملهوف ياسادتي
عبد كم بياكم قد وقف :: وبكم موصوف ياسادتي
وبكم يدعي طيب الوفا :: وبكم معروف ياسادتي
أنا هو العشيق في بدر رشيق بفضلك يانور عيني تكون لي رفيق",MLF-30-ISB-MSD.png,ISB.PNG
MLF-31-ISB-MRB,31,إشرب إلى الصّباح,الإصبعين,مربع,"إشرب إلى الصّباح :: صاح الطّير على القضيب
ونحن في إنشراح :: ومنعًا للرّقيب
في روضة الأقاح :: وغصنها الرّطيب
قد صحت البطاح والدّمع صديق أدر علينا الرّاح ياطلعة القضيب
أنظر إلى النواعر :: والماء قد يفور
مابين الأراهر :: قد أقبل السّرور
وأقطف لنا النّواور :: يامخجل البدور
وأشرب من الأقداح والطير على القضيب ليس لنا ياصاح واشي ولا رقيب
خد فرصة الليالي :: قبل أن تزول
كم بتّ ياغزالي :: تراقب الوصول
واليوم لا أبالي :: يامنيتي أقول
الحب في الملاح أبيح ياحبيب ألا لكلّ لاح نهجنا مريب",MLF-31-ISB-MRB.png,ISB.PNG
MLF-32-ISB-MRB,32,بدري ادر كأس الطّلا,الإصبعين,مربع,"بدري أدر كاس الطّلا :: فالرّاح للمضنى حلا
شمس تجلّت وأنجلا :: عنّا العنا فاسمح ولا
ماالصّبر إلّا جدلا :: والحبّ لا يبرح ول
خلّي من لي خلّي يكفي :: ذلّي بين الملا
يافاتني يكفي شجون :: مضناك قد ذاق المنون
بعدّت عن عيني الرّقاد :: والجسم أضناه البعاد
فارحم فتًا يرعى الوداد :: يامن تملكت الفؤاد
بالله دع عنك الصّدود :: ودقّ لي وأسمح وجود
هجران مثلي والقلا :: يفضي إلى ذوب الكلا
فاشفي ضعفي يكفي لهفي :: يامن حلا",MLF-32-ISB-MRB.png,ISB.PNG
